,file,color,orientation,type
1251,0318_c016_00022085_0_flip,white,br,sedan
1208,0207_c015_00018705_0_flip,red,br,hatchback
820,0612_c006_00088025_2,black,bl,suv
1461,0657_c004_00064760_0_flip,black,fl,sedan
1283,0421_c015_00060865_0_flip,gray,br,minivan
1689,0721_c002_00064875_0_flip,black,fr,sedan
1502,0132_c014_00016300_0_flip,white,fr,truck
1216,0247_c015_00082385_0_flip,brown,br,sedan
407,0319_c004_00086360_0,white,fl,sedan
1516,0174_c006_00043170_0_flip,gray,fr,truck
1036,0035_c002_00000430_1_flip,red,bl,sedan
1392,0721_c001_00066705_0_flip,black,br,sedan
475,0371_c019_00063710_0,white,bl,minivan
717,0582_c001_00026160_0,black,front,suv
1276,0398_c001_00043270_0_flip,yellow,br,truck
544,0405_c012_00062910_0,yellow,br,truck
316,0249_c016_00021630_0,black,fr,sedan
1170,0118_c019_00066025_0_flip,yellow,br,truck
647,0494_c002_00022625_0,gray,front,sedan
63,0066_c016_00055460_0,green,bl,bus
1254,0322_c013_00039175_0_flip,white,br,sedan
45,0061_c004_00083720_0,white,fl,pickup
67,0074_c014_00085685_0,gray,fl,pickup
1549,0273_c003_00036590_0_flip,blue,fr,bus
173,0143_c016_00076525_0,white,fr,truck
1280,0405_c016_00039390_0_flip,yellow,br,truck
579,0446_c003_00070130_0,gray,back,van
1598,0446_c001_00066420_0_flip,gray,fr,van
924,0672_c011_00043330_0,black,bl,sedan
344,0281_c017_00036150_0,white,back,bus
172,0143_c016_00076505_0,white,fr,truck
